PRZESUW;;;;;;;
TYP;LICZBA;KIE-;NA;PIPOPISOsIPOsISO ZERO-;;;
BITOW;RUNEK;ZBOOZU;WANIE;;;;
7491 A;8;T;x;;;;
7495;4;1;x;x;x;x;
7496;5;1;x;x;x;x;x
74164;8;x;x;x;;;
74165;8;x;x;;;;
74166;8;1;x;x;x;;
74194;4;x;x;x;x;x;
74195;4;1;x;x;x;x;x
74198;8;1;x;x;x;x;x
74199;8;T.;x;x;x;x;x
Rys, 5.49. Zestawienie rejestrow w serii 74;;;;;;;
