"Rodzaj prze-
mysłu";"Uśrednione straty za
godzinę przestoju w pro-
dukcji, wynikające z nie-
oczekiwanej awarii ma-
szyn"
Hutniczy;10 000 $
Papierniczy;10 000 $
Spożywczy;500 $
"Energetyczny
Blok 600 MW";15 000 $
"Lakiernia
w fabryce sa-
mochodów";1 000 000 $
Petrochemia;Kilka milionów $
