;rii ogółem;"Liczba awarii|
mechanicz.";"Liczba awarii
elektrycz."
1994;44;27;17
1995;37;25;12
1996;30;21;9
1997;37;23;14
1998;31;21;10
1999;33;20;13
2000;29;18;11
2001;23;16;7
2002;27;18;9
2003;27;19;8
